Name,Notes,Parent,QiCode,Sort Key,Source,Status,Tags,Type,Version
ARTICLE IV — Versioning & Continuity,Merged into existing draft chapter without changing chapter name.,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.02.006,,,draft,,Standard,v2.0
ARTICLE VII — Updates & Ratification,Merged into existing draft chapter without changing chapter name.,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.02.007,,,draft,,Workflow,v2.0
ARTICLE VIII — Founding Principles,Merged into existing draft chapter without changing chapter name.,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.01.003,,,draft,,Rule,v2.0
scope_definitions_numbering,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.001,00.01.001,,draft,,,
scope_definitions_numbering,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.002,00.01.002,,draft,,,
scope_definitions_numbering,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.003,00.01.003,,draft,,,
scope_definitions_numbering,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.004,00.01.004,,draft,,,
scope_definitions_numbering,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01.005,00.01.005,,draft,,,
naming_status_conventions,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.02.001,00.02.001,,draft,,,
naming_status_conventions,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.02.002,00.02.002,,draft,,,
naming_status_conventions,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.02.003,00.02.003,,draft,,,
naming_status_conventions,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.02.004,00.02.004,,draft,,,
naming_status_conventions,,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.02.005,00.02.005,,draft,,,
qi_doctrine_principles,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.01.001,01.01.001,,draft,,,
qi_doctrine_principles,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.01.002,01.01.002,,draft,,,
qi_doctrine_principles,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.01.003,01.01.003,,draft,,,
qi_doctrine_principles,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.01.004,01.01.004,,draft,,,
qi_doctrine_principles,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.01.005,01.01.005,,draft,,,
decision_rules,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.02.001,01.02.001,,draft,,,
decision_rules,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.02.002,01.02.002,,draft,,,
decision_rules,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.02.003,01.02.003,,draft,,,
decision_rules,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.02.004,01.02.004,,draft,,,
decision_rules,,Title 01 — Doctrine & Principles (Title%2001%20%E2%80%94%20Doctrine%20&%20Principles%208480e028937a46569ca6431ffe585bd7.csv),§ 01.02.005,01.02.005,,draft,,,
decisions_standards_templates,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.01.001,02.01.001,,draft,,,
decisions_standards_templates,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.01.002,02.01.002,,draft,,,
decisions_standards_templates,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.01.003,02.01.003,,draft,,,
decisions_standards_templates,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.01.004,02.01.004,,draft,,,
decisions_standards_templates,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.01.005,02.01.005,,draft,,,
change_control_deprecation,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.02.001,02.02.001,,draft,,,
change_control_deprecation,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.02.002,02.02.002,,draft,,,
change_control_deprecation,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.02.003,02.02.003,,draft,,,
change_control_deprecation,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.02.004,02.02.004,,draft,,,
change_control_deprecation,,Title 02 — Governance & Standards (Title%2002%20%E2%80%94%20Governance%20&%20Standards%206bd778fcacc144339cfd57ca6f5c2d28.csv),§ 02.02.005,02.02.005,,draft,,,
qilabs_root_model,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.01.001,03.01.001,,draft,,,
qilabs_root_model,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.01.002,03.01.002,,draft,,,
qilabs_root_model,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.01.003,03.01.003,,draft,,,
qilabs_root_model,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.01.004,03.01.004,,draft,,,
qilabs_root_model,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.01.005,03.01.005,,draft,,,
qilabs_root_model,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.01.006,03.01.006,,draft,,,
qispark_docs_landing,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.02.001,03.02.001,,draft,,,
qispark_docs_landing,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.02.002,03.02.002,,draft,,,
qispark_docs_landing,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.02.003,03.02.003,,draft,,,
qispark_docs_landing,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.02.004,03.02.004,,draft,,,
qispark_docs_landing,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.02.005,03.02.005,,draft,,,
qiserver_runtime_cloudflare,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.03.001,03.03.001,,draft,,,
qiserver_runtime_cloudflare,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.03.002,03.03.002,,draft,,,
qiserver_runtime_cloudflare,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.03.003,03.03.003,,draft,,,
qiserver_runtime_cloudflare,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.03.004,03.03.004,,draft,,,
qiserver_runtime_cloudflare,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.03.005,03.03.005,,draft,,,
qidrive_records_evidence,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.04.001,03.04.001,,draft,,,
qidrive_records_evidence,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.04.002,03.04.002,,draft,,,
qidrive_records_evidence,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.04.004,03.04.004,,draft,,,
qidrive_records_evidence,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.04.003,03.04.003,,draft,,,
qidrive_records_evidence,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.04.005,03.04.005,,draft,,,
qiapps_projects_integrations,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.05.001,03.05.001,,draft,,,
qiapps_projects_integrations,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.05.002,03.05.002,,draft,,,
qiapps_projects_integrations,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.05.003,03.05.003,,draft,,,
qiapps_projects_integrations,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.05.004,03.05.004,,draft,,,
qiapps_projects_integrations,,Title 03 — System Architecture (Title%2003%20%E2%80%94%20System%20Architecture%2072ffae42ca164f3d83110f6ade054b3a.csv),§ 03.05.005,03.05.005,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.001,04.01.001,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.002,04.01.002,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.003,04.01.003,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.004,04.01.004,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.005,04.01.005,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.006,04.01.006,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.007,04.01.007,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.008,04.01.008,,draft,,,
records_metadata_links,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.02.001,04.02.001,,draft,,,
timeline_journal_chronicle,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.01.009,04.01.009,,draft,,,
records_metadata_links,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.02.002,04.02.002,,draft,,,
records_metadata_links,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.02.003,04.02.003,,draft,,,
records_metadata_links,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.02.004,04.02.004,,draft,,,
records_metadata_links,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.02.005,04.02.005,,draft,,,
evidence_audit_import_export,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.03.001,04.03.001,,draft,,,
evidence_audit_import_export,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.03.002,04.03.002,,draft,,,
evidence_audit_import_export,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.03.003,04.03.003,,draft,,,
evidence_audit_import_export,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.03.004,04.03.004,,draft,,,
evidence_audit_import_export,,Title 04 — Chronicle & Records (Title%2004%20%E2%80%94%20Chronicle%20&%20Records%2026e2a06ad0bf4c4c8c21bf4a3949eca7.csv),§ 04.03.005,04.03.005,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.001,05.01.001,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.002,05.01.002,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.003,05.01.003,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.004,05.01.004,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.005,05.01.005,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.001,05.02.001,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.002,05.02.002,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.003,05.02.003,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.004,05.02.004,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.005,05.02.005,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.001,06.01.001,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.002,06.01.002,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.003,06.01.003,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.004,06.01.004,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.005,06.01.005,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.006,06.01.006,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.001,06.02.001,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.002,06.02.002,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.003,06.02.003,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.004,06.02.004,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.005,06.02.005,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.001,06.03.001,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.002,06.03.002,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.003,06.03.003,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.005,06.03.005,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.004,06.03.004,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.001,07.01.001,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.002,07.01.002,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.003,07.01.003,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.004,07.01.004,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.005,07.01.005,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.001,07.02.001,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.002,07.02.002,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.003,07.02.003,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.004,07.02.004,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.005,07.02.005,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.001,08.01.001,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.002,08.01.002,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.003,08.01.003,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.004,08.01.004,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.005,08.01.005,,draft,,,
assets_debts_reports,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.02.001,08.02.001,,draft,,,
